period_date,year,period,month,period_abbr,period_name,sizeclass_code,industry_code,industry_text,state_code,state_text,jobs,quits,hires
7/1/2020,2020,M07,7,JUL,July,0,510000,Information,0,Total US,3.2,1.4,3.4
8/1/2020,2020,M08,8,AUG,August,0,510000,Information,0,Total US,2.9,1.4,4.2
9/1/2020,2020,M09,9,SEP,September,0,510000,Information,0,Total US,4,1.3,3.8
10/1/2020,2020,M10,10,OCT,October,0,510000,Information,0,Total US,4.2,1.5,4.6
11/1/2020,2020,M11,11,NOV,November,0,510000,Information,0,Total US,3.6,1.5,3.1
12/1/2020,2020,M12,12,DEC,December,0,510000,Information,0,Total US,3.9,1.5,2.7
1/1/2021,2021,M01,1,JAN,January,0,510000,Information,0,Total US,4.6,1.4,2.9
2/1/2021,2021,M02,2,FEB,February,0,510000,Information,0,Total US,3.9,1.5,3.3
3/1/2021,2021,M03,3,MAR,March,0,510000,Information,0,Total US,3.7,2.1,3.5
4/1/2021,2021,M04,4,APR,April,0,510000,Information,0,Total US,4,1.9,3.7
5/1/2021,2021,M05,5,MAY,May,0,510000,Information,0,Total US,4.9,1.6,3.6
6/1/2021,2021,M06,6,JUN,June,0,510000,Information,0,Total US,5.6,1.8,3.3
7/1/2021,2021,M07,7,JUL,July,0,510000,Information,0,Total US,5.5,1.8,3.6
8/1/2021,2021,M08,8,AUG,August,0,510000,Information,0,Total US,5.3,1.6,3.5
1/1/2019,2019,M01,1,JAN,January,0,510099,Financial activities,0,Total US,4.4,1.2,2.1
2/1/2019,2019,M02,2,FEB,February,0,510099,Financial activities,0,Total US,3.9,1.2,2.3
3/1/2019,2019,M03,3,MAR,March,0,510099,Financial activities,0,Total US,4,1.2,2.2
4/1/2019,2019,M04,4,APR,April,0,510099,Financial activities,0,Total US,3.8,1.5,2.6
5/1/2019,2019,M05,5,MAY,May,0,510099,Financial activities,0,Total US,4.1,1.5,2.6
6/1/2019,2019,M06,6,JUN,June,0,510099,Financial activities,0,Total US,4.2,1.5,2.6
7/1/2019,2019,M07,7,JUL,July,0,510099,Financial activities,0,Total US,4.1,1.5,2.9
8/1/2019,2019,M08,8,AUG,August,0,510099,Financial activities,0,Total US,4.2,1.6,2.7
9/1/2019,2019,M09,9,SEP,September,0,510099,Financial activities,0,Total US,4,1.5,2.6
10/1/2019,2019,M10,10,OCT,October,0,510099,Financial activities,0,Total US,4.6,1.5,2.5
11/1/2019,2019,M11,11,NOV,November,0,510099,Financial activities,0,Total US,4.1,1.8,2.7
12/1/2019,2019,M12,12,DEC,December,0,510099,Financial activities,0,Total US,3.5,1.5,2.5
1/1/2020,2020,M01,1,JAN,January,0,510099,Financial activities,0,Total US,4.6,1.5,2.5
2/1/2020,2020,M02,2,FEB,February,0,510099,Financial activities,0,Total US,4.5,1.5,2.7
3/1/2020,2020,M03,3,MAR,March,0,510099,Financial activities,0,Total US,3.8,1.2,2.6
4/1/2020,2020,M04,4,APR,April,0,510099,Financial activities,0,Total US,2.8,0.8,1.9
5/1/2020,2020,M05,5,MAY,May,0,510099,Financial activities,0,Total US,3.5,1,2.5
6/1/2020,2020,M06,6,JUN,June,0,510099,Financial activities,0,Total US,3.7,1.1,2.2
7/1/2020,2020,M07,7,JUL,July,0,510099,Financial activities,0,Total US,3.4,1.1,3.1
8/1/2020,2020,M08,8,AUG,August,0,510099,Financial activities,0,Total US,3.2,1.5,2.7
9/1/2020,2020,M09,9,SEP,September,0,510099,Financial activities,0,Total US,3.5,1.3,2.9
10/1/2020,2020,M10,10,OCT,October,0,510099,Financial activities,0,Total US,3.4,1.5,2.9
11/1/2020,2020,M11,11,NOV,November,0,510099,Financial activities,0,Total US,3.2,1.4,2.5
12/1/2020,2020,M12,12,DEC,December,0,510099,Financial activities,0,Total US,3.3,1.2,2.4
1/1/2021,2021,M01,1,JAN,January,0,510099,Financial activities,0,Total US,3.4,1.7,2.3
2/1/2021,2021,M02,2,FEB,February,0,510099,Financial activities,0,Total US,3.3,1.5,2.3
3/1/2021,2021,M03,3,MAR,March,0,510099,Financial activities,0,Total US,3.8,1.4,2.4
4/1/2021,2021,M04,4,APR,April,0,510099,Financial activities,0,Total US,4.5,1.6,2.4
5/1/2021,2021,M05,5,MAY,May,0,510099,Financial activities,0,Total US,4.3,1.4,2.3
6/1/2021,2021,M06,6,JUN,June,0,510099,Financial activities,0,Total US,3.8,1.4,2.4
7/1/2021,2021,M07,7,JUL,July,0,510099,Financial activities,0,Total US,5.7,1.5,2.5
8/1/2021,2021,M08,8,AUG,August,0,510099,Financial activities,0,Total US,5.1,1.3,2.3
1/1/2019,2019,M01,1,JAN,January,0,520000,Finance and insurance,0,Total US,4.3,1,1.6
2/1/2019,2019,M02,2,FEB,February,0,520000,Finance and insurance,0,Total US,4,1.2,2.1
3/1/2019,2019,M03,3,MAR,March,0,520000,Finance and insurance,0,Total US,3.6,1,2.1
4/1/2019,2019,M04,4,APR,April,0,520000,Finance and insurance,0,Total US,3.6,1.4,2.3
5/1/2019,2019,M05,5,MAY,May,0,520000,Finance and insurance,0,Total US,4.1,1.3,2.2
6/1/2019,2019,M06,6,JUN,June,0,520000,Finance and insurance,0,Total US,4.1,1.2,2.1
7/1/2019,2019,M07,7,JUL,July,0,520000,Finance and insurance,0,Total US,3.9,1.4,2.6
8/1/2019,2019,M08,8,AUG,August,0,520000,Finance and insurance,0,Total US,4.2,1.4,2.4
9/1/2019,2019,M09,9,SEP,September,0,520000,Finance and insurance,0,Total US,4.1,1.4,2.2
10/1/2019,2019,M10,10,OCT,October,0,520000,Finance and insurance,0,Total US,4.8,1.4,2.1
11/1/2019,2019,M11,11,NOV,November,0,520000,Finance and insurance,0,Total US,4,1.6,2.3
12/1/2019,2019,M12,12,DEC,December,0,520000,Finance and insurance,0,Total US,3.4,1.3,2.1
1/1/2020,2020,M01,1,JAN,January,0,520000,Finance and insurance,0,Total US,4.7,1.3,2.2
2/1/2020,2020,M02,2,FEB,February,0,520000,Finance and insurance,0,Total US,4.6,1.4,2.4
3/1/2020,2020,M03,3,MAR,March,0,520000,Finance and insurance,0,Total US,3.9,1.2,2.4
4/1/2020,2020,M04,4,APR,April,0,520000,Finance and insurance,0,Total US,2.8,0.8,1.9
5/1/2020,2020,M05,5,MAY,May,0,520000,Finance and insurance,0,Total US,3.5,1.1,1.7
6/1/2020,2020,M06,6,JUN,June,0,520000,Finance and insurance,0,Total US,3.7,1,2
7/1/2020,2020,M07,7,JUL,July,0,520000,Finance and insurance,0,Total US,3.5,0.9,2.1
8/1/2020,2020,M08,8,AUG,August,0,520000,Finance and insurance,0,Total US,3.2,1.6,2.3
9/1/2020,2020,M09,9,SEP,September,0,520000,Finance and insurance,0,Total US,3.5,1.1,2.5
10/1/2020,2020,M10,10,OCT,October,0,520000,Finance and insurance,0,Total US,3.3,1.2,2.3
11/1/2020,2020,M11,11,NOV,November,0,520000,Finance and insurance,0,Total US,3.2,1.3,2.2
12/1/2020,2020,M12,12,DEC,December,0,520000,Finance and insurance,0,Total US,3.4,1.1,2
1/1/2021,2021,M01,1,JAN,January,0,520000,Finance and insurance,0,Total US,3.3,1.6,1.9
2/1/2021,2021,M02,2,FEB,February,0,520000,Finance and insurance,0,Total US,3.4,1.3,2
3/1/2021,2021,M03,3,MAR,March,0,520000,Finance and insurance,0,Total US,3.9,1.2,2
4/1/2021,2021,M04,4,APR,April,0,520000,Finance and insurance,0,Total US,4.3,1.6,2.1
5/1/2021,2021,M05,5,MAY,May,0,520000,Finance and insurance,0,Total US,4.2,1.3,2
6/1/2021,2021,M06,6,JUN,June,0,520000,Finance and insurance,0,Total US,3.6,1.2,2.1
7/1/2021,2021,M07,7,JUL,July,0,520000,Finance and insurance,0,Total US,5,1.2,2.2
8/1/2021,2021,M08,8,AUG,August,0,520000,Finance and insurance,0,Total US,4.5,1.3,2
1/1/2019,2019,M01,1,JAN,January,0,530000,Real estate and rental and leasing,0,Total US,4.9,1.8,3.6
2/1/2019,2019,M02,2,FEB,February,0,530000,Real estate and rental and leasing,0,Total US,3.6,1.3,2.9
3/1/2019,2019,M03,3,MAR,March,0,530000,Real estate and rental and leasing,0,Total US,5.1,1.8,2.6
4/1/2019,2019,M04,4,APR,April,0,530000,Real estate and rental and leasing,0,Total US,4.2,2,3.4
5/1/2019,2019,M05,5,MAY,May,0,530000,Real estate and rental and leasing,0,Total US,4.4,1.9,3.6
6/1/2019,2019,M06,6,JUN,June,0,530000,Real estate and rental and leasing,0,Total US,4.5,2.4,3.9
7/1/2019,2019,M07,7,JUL,July,0,530000,Real estate and rental and leasing,0,Total US,4.6,1.9,3.8
8/1/2019,2019,M08,8,AUG,August,0,530000,Real estate and rental and leasing,0,Total US,4.2,2.2,3.6
9/1/2019,2019,M09,9,SEP,September,0,530000,Real estate and rental and leasing,0,Total US,3.8,1.8,3.5
10/1/2019,2019,M10,10,OCT,October,0,530000,Real estate and rental and leasing,0,Total US,4,1.7,3.5
11/1/2019,2019,M11,11,NOV,November,0,530000,Real estate and rental and leasing,0,Total US,4.3,2.3,3.7
12/1/2019,2019,M12,12,DEC,December,0,530000,Real estate and rental and leasing,0,Total US,3.9,2.1,3.5
1/1/2020,2020,M01,1,JAN,January,0,530000,Real estate and rental and leasing,0,Total US,4.2,2.2,3.2
2/1/2020,2020,M02,2,FEB,February,0,530000,Real estate and rental and leasing,0,Total US,4.2,1.8,3.5
3/1/2020,2020,M03,3,MAR,March,0,530000,Real estate and rental and leasing,0,Total US,3.8,1.4,3.3
4/1/2020,2020,M04,4,APR,April,0,530000,Real estate and rental and leasing,0,Total US,2.7,0.8,1.9
5/1/2020,2020,M05,5,MAY,May,0,530000,Real estate and rental and leasing,0,Total US,3.4,0.7,5.1
6/1/2020,2020,M06,6,JUN,June,0,530000,Real estate and rental and leasing,0,Total US,3.8,1.2,3.1
7/1/2020,2020,M07,7,JUL,July,0,530000,Real estate and rental and leasing,0,Total US,3.3,1.7,6
8/1/2020,2020,M08,8,AUG,August,0,530000,Real estate and rental and leasing,0,Total US,3.2,1.2,3.8
9/1/2020,2020,M09,9,SEP,September,0,530000,Real estate and rental and leasing,0,Total US,3.3,1.9,4.1
10/1/2020,2020,M10,10,OCT,October,0,530000,Real estate and rental and leasing,0,Total US,3.4,2.1,4.5
11/1/2020,2020,M11,11,NOV,November,0,530000,Real estate and rental and leasing,0,Total US,3.1,1.9,3.3
12/1/2020,2020,M12,12,DEC,December,0,530000,Real estate and rental and leasing,0,Total US,2.8,1.7,3.5
1/1/2021,2021,M01,1,JAN,January,0,530000,Real estate and rental and leasing,0,Total US,3.5,1.9,3.4
2/1/2021,2021,M02,2,FEB,February,0,530000,Real estate and rental and leasing,0,Total US,3.2,2.1,3
3/1/2021,2021,M03,3,MAR,March,0,530000,Real estate and rental and leasing,0,Total US,3.5,1.9,3.4
4/1/2021,2021,M04,4,APR,April,0,530000,Real estate and rental and leasing,0,Total US,5.2,1.8,3.1
5/1/2021,2021,M05,5,MAY,May,0,530000,Real estate and rental and leasing,0,Total US,4.3,1.6,3.1
6/1/2021,2021,M06,6,JUN,June,0,530000,Real estate and rental and leasing,0,Total US,4.2,2.2,3.1
7/1/2021,2021,M07,7,JUL,July,0,530000,Real estate and rental and leasing,0,Total US,7.5,2.4,3.5
8/1/2021,2021,M08,8,AUG,August,0,530000,Real estate and rental and leasing,0,Total US,6.9,1.3,3.1
1/1/2019,2019,M01,1,JAN,January,0,540099,Professional and business services,0,Total US,6.1,3.1,5
2/1/2019,2019,M02,2,FEB,February,0,540099,Professional and business services,0,Total US,6.1,3.1,5.5
3/1/2019,2019,M03,3,MAR,March,0,540099,Professional and business services,0,Total US,5.9,3.3,5.5
4/1/2019,2019,M04,4,APR,April,0,540099,Professional and business services,0,Total US,5.2,3.1,5.9
5/1/2019,2019,M05,5,MAY,May,0,540099,Professional and business services,0,Total US,5.7,3,5.3
6/1/2019,2019,M06,6,JUN,June,0,540099,Professional and business services,0,Total US,5.7,3,5.2
7/1/2019,2019,M07,7,JUL,July,0,540099,Professional and business services,0,Total US,5.7,3.2,5.5
8/1/2019,2019,M08,8,AUG,August,0,540099,Professional and business services,0,Total US,5.6,3,5.4
9/1/2019,2019,M09,9,SEP,September,0,540099,Professional and business services,0,Total US,5.6,3,5.5
10/1/2019,2019,M10,10,OCT,October,0,540099,Professional and business services,0,Total US,5.3,2.9,5.2
11/1/2019,2019,M11,11,NOV,November,0,540099,Professional and business services,0,Total US,5.3,2.9,5.4
12/1/2019,2019,M12,12,DEC,December,0,540099,Professional and business services,0,Total US,5.4,3,5.4
1/1/2020,2020,M01,1,JAN,January,0,540099,Professional and business services,0,Total US,5.7,3.2,5.4
2/1/2020,2020,M02,2,FEB,February,0,540099,Professional and business services,0,Total US,5.7,2.9,5.2
3/1/2020,2020,M03,3,MAR,March,0,540099,Professional and business services,0,Total US,4.7,2.7,5.2
4/1/2020,2020,M04,4,APR,April,0,540099,Professional and business services,0,Total US,4.2,2.3,4.2
5/1/2020,2020,M05,5,MAY,May,0,540099,Professional and business services,0,Total US,4.4,2.2,5
6/1/2020,2020,M06,6,JUN,June,0,540099,Professional and business services,0,Total US,4.9,2.1,6
7/1/2020,2020,M07,7,JUL,July,0,540099,Professional and business services,0,Total US,5.7,2.9,5.6
8/1/2020,2020,M08,8,AUG,August,0,540099,Professional and business services,0,Total US,5.5,2.7,6.8
9/1/2020,2020,M09,9,SEP,September,0,540099,Professional and business services,0,Total US,5.8,3.3,5.6
10/1/2020,2020,M10,10,OCT,October,0,540099,Professional and business services,0,Total US,5.7,3,5.4
11/1/2020,2020,M11,11,NOV,November,0,540099,Professional and business services,0,Total US,5.8,2.9,6
12/1/2020,2020,M12,12,DEC,December,0,540099,Professional and business services,0,Total US,6.7,2.8,5.5
1/1/2021,2021,M01,1,JAN,January,0,540099,Professional and business services,0,Total US,6.4,2.8,5.2
2/1/2021,2021,M02,2,FEB,February,0,540099,Professional and business services,0,Total US,6.2,2.9,5.5
3/1/2021,2021,M03,3,MAR,March,0,540099,Professional and business services,0,Total US,6.4,2.9,5.4
4/1/2021,2021,M04,4,APR,April,0,540099,Professional and business services,0,Total US,7.1,3.7,5.1
5/1/2021,2021,M05,5,MAY,May,0,540099,Professional and business services,0,Total US,7,3,5.1
6/1/2021,2021,M06,6,JUN,June,0,540099,Professional and business services,0,Total US,7.6,3.3,5.6
7/1/2021,2021,M07,7,JUL,July,0,540099,Professional and business services,0,Total US,8.1,3.3,6
8/1/2021,2021,M08,8,AUG,August,0,540099,Professional and business services,0,Total US,7.9,3.4,5.7
1/1/2019,2019,M01,1,JAN,January,0,600000,Education and health services,0,Total US,5.3,2,3.2
2/1/2019,2019,M02,2,FEB,February,0,600000,Education and health services,0,Total US,4.8,2,3
3/1/2019,2019,M03,3,MAR,March,0,600000,Education and health services,0,Total US,5.4,2,3.1
4/1/2019,2019,M04,4,APR,April,0,600000,Education and health services,0,Total US,5.4,1.9,3.1
5/1/2019,2019,M05,5,MAY,May,0,600000,Education and health services,0,Total US,5.4,1.7,2.8
6/1/2019,2019,M06,6,JUN,June,0,600000,Education and health services,0,Total US,5.1,1.8,2.8
7/1/2019,2019,M07,7,JUL,July,0,600000,Education and health services,0,Total US,5.1,2,3.2
8/1/2019,2019,M08,8,AUG,August,0,600000,Education and health services,0,Total US,5.2,2,2.8
9/1/2019,2019,M09,9,SEP,September,0,600000,Education and health services,0,Total US,4.9,1.8,3.1
10/1/2019,2019,M10,10,OCT,October,0,600000,Education and health services,0,Total US,5.1,1.9,3
11/1/2019,2019,M11,11,NOV,November,0,600000,Education and health services,0,Total US,5.1,1.8,3
12/1/2019,2019,M12,12,DEC,December,0,600000,Education and health services,0,Total US,4.8,2,2.9
1/1/2020,2020,M01,1,JAN,January,0,600000,Education and health services,0,Total US,5.1,2,3.3
2/1/2020,2020,M02,2,FEB,February,0,600000,Education and health services,0,Total US,4.9,2,3.1
3/1/2020,2020,M03,3,MAR,March,0,600000,Education and health services,0,Total US,4.5,1.9,2.7
4/1/2020,2020,M04,4,APR,April,0,600000,Education and health services,0,Total US,4.2,1.8,2.4
5/1/2020,2020,M05,5,MAY,May,0,600000,Education and health services,0,Total US,4.2,1.5,5.4
6/1/2020,2020,M06,6,JUN,June,0,600000,Education and health services,0,Total US,4.5,1.9,4.1
7/1/2020,2020,M07,7,JUL,July,0,600000,Education and health services,0,Total US,5,2.1,3.7
8/1/2020,2020,M08,8,AUG,August,0,600000,Education and health services,0,Total US,4.9,1.9,3.1
9/1/2020,2020,M09,9,SEP,September,0,600000,Education and health services,0,Total US,5.1,2,3
10/1/2020,2020,M10,10,OCT,October,0,600000,Education and health services,0,Total US,5.7,2.2,3.1
11/1/2020,2020,M11,11,NOV,November,0,600000,Education and health services,0,Total US,5.4,1.9,3.1
12/1/2020,2020,M12,12,DEC,December,0,600000,Education and health services,0,Total US,5.2,2,3
1/1/2021,2021,M01,1,JAN,January,0,600000,Education and health services,0,Total US,5.6,2,3
2/1/2021,2021,M02,2,FEB,February,0,600000,Education and health services,0,Total US,6.4,2,3
3/1/2021,2021,M03,3,MAR,March,0,600000,Education and health services,0,Total US,5.8,2.2,3.2
4/1/2021,2021,M04,4,APR,April,0,600000,Education and health services,0,Total US,6.1,2.4,3.2
5/1/2021,2021,M05,5,MAY,May,0,600000,Education and health services,0,Total US,6.5,2.2,3.2
6/1/2021,2021,M06,6,JUN,June,0,600000,Education and health services,0,Total US,6.7,2.3,3.4
7/1/2021,2021,M07,7,JUL,July,0,600000,Education and health services,0,Total US,7.7,2.5,3.3
8/1/2021,2021,M08,8,AUG,August,0,600000,Education and health services,0,Total US,6.8,2.4,3.4
1/1/2019,2019,M01,1,JAN,January,0,610000,Educational services,0,Total US,3.1,1.4,2.9
2/1/2019,2019,M02,2,FEB,February,0,610000,Educational services,0,Total US,2.9,1.4,2.5
3/1/2019,2019,M03,3,MAR,March,0,610000,Educational services,0,Total US,2.9,1.3,2.4
4/1/2019,2019,M04,4,APR,April,0,610000,Educational services,0,Total US,3.3,1.2,2.7
5/1/2019,2019,M05,5,MAY,May,0,610000,Educational services,0,Total US,3.3,1.3,2.6
6/1/2019,2019,M06,6,JUN,June,0,610000,Educational services,0,Total US,3.1,1.7,2.4
7/1/2019,2019,M07,7,JUL,July,0,610000,Educational services,0,Total US,2.8,1.7,2.8
8/1/2019,2019,M08,8,AUG,August,0,610000,Educational services,0,Total US,3.1,1.5,2.4
9/1/2019,2019,M09,9,SEP,September,0,610000,Educational services,0,Total US,3.4,1.3,2.5
10/1/2019,2019,M10,10,OCT,October,0,610000,Educational services,0,Total US,3.2,1.6,2.7
11/1/2019,2019,M11,11,NOV,November,0,610000,Educational services,0,Total US,3.7,1.4,2.7
12/1/2019,2019,M12,12,DEC,December,0,610000,Educational services,0,Total US,2.9,1.5,2.5
1/1/2020,2020,M01,1,JAN,January,0,610000,Educational services,0,Total US,3,1.4,3
2/1/2020,2020,M02,2,FEB,February,0,610000,Educational services,0,Total US,3,1.5,2.4
3/1/2020,2020,M03,3,MAR,March,0,610000,Educational services,0,Total US,2.7,1.3,2.5
4/1/2020,2020,M04,4,APR,April,0,610000,Educational services,0,Total US,2.7,1.4,2
5/1/2020,2020,M05,5,MAY,May,0,610000,Educational services,0,Total US,2.4,0.7,3
6/1/2020,2020,M06,6,JUN,June,0,610000,Educational services,0,Total US,2.7,0.6,3.5
7/1/2020,2020,M07,7,JUL,July,0,610000,Educational services,0,Total US,2.4,1.2,2.9
8/1/2020,2020,M08,8,AUG,August,0,610000,Educational services,0,Total US,2.8,1,2.8
9/1/2020,2020,M09,9,SEP,September,0,610000,Educational services,0,Total US,3.1,0.8,1.8
10/1/2020,2020,M10,10,OCT,October,0,610000,Educational services,0,Total US,3.3,1.3,2.6
11/1/2020,2020,M11,11,NOV,November,0,610000,Educational services,0,Total US,2.9,1.4,2.7
12/1/2020,2020,M12,12,DEC,December,0,610000,Educational services,0,Total US,2.6,1.6,2
1/1/2021,2021,M01,1,JAN,January,0,610000,Educational services,0,Total US,4.2,0.7,3.3
2/1/2021,2021,M02,2,FEB,February,0,610000,Educational services,0,Total US,3,1.3,2.5
3/1/2021,2021,M03,3,MAR,March,0,610000,Educational services,0,Total US,4,1.3,3.3
4/1/2021,2021,M04,4,APR,April,0,610000,Educational services,0,Total US,3.6,1.5,2.5
5/1/2021,2021,M05,5,MAY,May,0,610000,Educational services,0,Total US,4.6,1.5,2.9
6/1/2021,2021,M06,6,JUN,June,0,610000,Educational services,0,Total US,5.4,1.3,3.6
7/1/2021,2021,M07,7,JUL,July,0,610000,Educational services,0,Total US,5.2,1.4,3.1
8/1/2021,2021,M08,8,AUG,August,0,610000,Educational services,0,Total US,4.8,1.2,3.7
1/1/2019,2019,M01,1,JAN,January,0,620000,Health care and social assistance,0,Total US,5.7,2.1,3.2
2/1/2019,2019,M02,2,FEB,February,0,620000,Health care and social assistance,0,Total US,5.2,2.1,3.1
3/1/2019,2019,M03,3,MAR,March,0,620000,Health care and social assistance,0,Total US,5.8,2.2,3.2
4/1/2019,2019,M04,4,APR,April,0,620000,Health care and social assistance,0,Total US,5.8,2,3.2
5/1/2019,2019,M05,5,MAY,May,0,620000,Health care and social assistance,0,Total US,5.7,1.8,2.9
6/1/2019,2019,M06,6,JUN,June,0,620000,Health care and social assistance,0,Total US,5.5,1.8,2.8
7/1/2019,2019,M07,7,JUL,July,0,620000,Health care and social assistance,0,Total US,5.5,2.1,3.2
8/1/2019,2019,M08,8,AUG,August,0,620000,Health care and social assistance,0,Total US,5.6,2,2.9
9/1/2019,2019,M09,9,SEP,September,0,620000,Health care and social assistance,0,Total US,5.1,1.9,3.2
10/1/2019,2019,M10,10,OCT,October,0,620000,Health care and social assistance,0,Total US,5.4,2,3.1
11/1/2019,2019,M11,11,NOV,November,0,620000,Health care and social assistance,0,Total US,5.4,1.9,3
12/1/2019,2019,M12,12,DEC,December,0,620000,Health care and social assistance,0,Total US,5.1,2.1,3
1/1/2020,2020,M01,1,JAN,January,0,620000,Health care and social assistance,0,Total US,5.5,2.1,3.3
2/1/2020,2020,M02,2,FEB,February,0,620000,Health care and social assistance,0,Total US,5.2,2.1,3.3
3/1/2020,2020,M03,3,MAR,March,0,620000,Health care and social assistance,0,Total US,4.8,2,2.7
4/1/2020,2020,M04,4,APR,April,0,620000,Health care and social assistance,0,Total US,4.4,1.9,2.5
5/1/2020,2020,M05,5,MAY,May,0,620000,Health care and social assistance,0,Total US,4.5,1.6,5.8
6/1/2020,2020,M06,6,JUN,June,0,620000,Health care and social assistance,0,Total US,4.8,2.1,4.2
7/1/2020,2020,M07,7,JUL,July,0,620000,Health care and social assistance,0,Total US,5.5,2.3,3.8
8/1/2020,2020,M08,8,AUG,August,0,620000,Health care and social assistance,0,Total US,5.2,2.1,3.2
9/1/2020,2020,M09,9,SEP,September,0,620000,Health care and social assistance,0,Total US,5.5,2.2,3.2
10/1/2020,2020,M10,10,OCT,October,0,620000,Health care and social assistance,0,Total US,6.1,2.4,3.2
11/1/2020,2020,M11,11,NOV,November,0,620000,Health care and social assistance,0,Total US,5.8,2,3.2
12/1/2020,2020,M12,12,DEC,December,0,620000,Health care and social assistance,0,Total US,5.6,2.1,3.2
1/1/2021,2021,M01,1,JAN,January,0,620000,Health care and social assistance,0,Total US,5.8,2.2,3
2/1/2021,2021,M02,2,FEB,February,0,620000,Health care and social assistance,0,Total US,7,2.1,3.1
3/1/2021,2021,M03,3,MAR,March,0,620000,Health care and social assistance,0,Total US,6.1,2.3,3.2
4/1/2021,2021,M04,4,APR,April,0,620000,Health care and social assistance,0,Total US,6.5,2.5,3.3
5/1/2021,2021,M05,5,MAY,May,0,620000,Health care and social assistance,0,Total US,6.8,2.4,3.3
6/1/2021,2021,M06,6,JUN,June,0,620000,Health care and social assistance,0,Total US,7,2.5,3.3
7/1/2021,2021,M07,7,JUL,July,0,620000,Health care and social assistance,0,Total US,8.1,2.7,3.3
8/1/2021,2021,M08,8,AUG,August,0,620000,Health care and social assistance,0,Total US,7.1,2.7,3.4
1/1/2019,2019,M01,1,JAN,January,0,700000,Leisure and hospitality,0,Total US,6.4,4.6,6.8
2/1/2019,2019,M02,2,FEB,February,0,700000,Leisure and hospitality,0,Total US,5.7,4.7,6.6
3/1/2019,2019,M03,3,MAR,March,0,700000,Leisure and hospitality,0,Total US,5.8,4.5,6.7
4/1/2019,2019,M04,4,APR,April,0,700000,Leisure and hospitality,0,Total US,5.8,4.6,7.1
5/1/2019,2019,M05,5,MAY,May,0,700000,Leisure and hospitality,0,Total US,5.8,4.6,6.6
6/1/2019,2019,M06,6,JUN,June,0,700000,Leisure and hospitality,0,Total US,5.4,4.8,7
7/1/2019,2019,M07,7,JUL,July,0,700000,Leisure and hospitality,0,Total US,5.5,4.8,6.9
8/1/2019,2019,M08,8,AUG,August,0,700000,Leisure and hospitality,0,Total US,5.4,4.9,6.9
9/1/2019,2019,M09,9,SEP,September,0,700000,Leisure and hospitality,0,Total US,5.7,4.4,6.9
10/1/2019,2019,M10,10,OCT,October,0,700000,Leisure and hospitality,0,Total US,5.6,4.6,6.6
11/1/2019,2019,M11,11,NOV,November,0,700000,Leisure and hospitality,0,Total US,5.5,4.4,6.5
12/1/2019,2019,M12,12,DEC,December,0,700000,Leisure and hospitality,0,Total US,5.2,4.5,6.8
1/1/2020,2020,M01,1,JAN,January,0,700000,Leisure and hospitality,0,Total US,5.2,4.4,6.6
2/1/2020,2020,M02,2,FEB,February,0,700000,Leisure and hospitality,0,Total US,5.3,4.1,6.5
3/1/2020,2020,M03,3,MAR,March,0,700000,Leisure and hospitality,0,Total US,3.9,3.2,4.2
4/1/2020,2020,M04,4,APR,April,0,700000,Leisure and hospitality,0,Total US,3.8,3.6,4.9
5/1/2020,2020,M05,5,MAY,May,0,700000,Leisure and hospitality,0,Total US,6.8,3.5,19.5
6/1/2020,2020,M06,6,JUN,June,0,700000,Leisure and hospitality,0,Total US,7,3.6,17.5
7/1/2020,2020,M07,7,JUL,July,0,700000,Leisure and hospitality,0,Total US,6.3,4,10.6
8/1/2020,2020,M08,8,AUG,August,0,700000,Leisure and hospitality,0,Total US,6,3.9,8.1
9/1/2020,2020,M09,9,SEP,September,0,700000,Leisure and hospitality,0,Total US,5.9,4.5,8.2
10/1/2020,2020,M10,10,OCT,October,0,700000,Leisure and hospitality,0,Total US,6.1,4.4,8.5
11/1/2020,2020,M11,11,NOV,November,0,700000,Leisure and hospitality,0,Total US,5.9,4.6,8.1
12/1/2020,2020,M12,12,DEC,December,0,700000,Leisure and hospitality,0,Total US,5.4,5.2,5.8
1/1/2021,2021,M01,1,JAN,January,0,700000,Leisure and hospitality,0,Total US,5.3,4.9,7.1
2/1/2021,2021,M02,2,FEB,February,0,700000,Leisure and hospitality,0,Total US,6.5,4.6,8.8
3/1/2021,2021,M03,3,MAR,March,0,700000,Leisure and hospitality,0,Total US,8,5.1,8.5
4/1/2021,2021,M04,4,APR,April,0,700000,Leisure and hospitality,0,Total US,9.1,5.3,9.5
5/1/2021,2021,M05,5,MAY,May,0,700000,Leisure and hospitality,0,Total US,9.5,5.3,9.4
6/1/2021,2021,M06,6,JUN,June,0,700000,Leisure and hospitality,0,Total US,10.2,5.2,9.4
7/1/2021,2021,M07,7,JUL,July,0,700000,Leisure and hospitality,0,Total US,11.2,5.3,9.5
8/1/2021,2021,M08,8,AUG,August,0,700000,Leisure and hospitality,0,Total US,10.1,6.4,7.9
1/1/2019,2019,M01,1,JAN,January,0,710000,"Arts, entertainment, and recreation",0,Total US,4.2,3,7.2
2/1/2019,2019,M02,2,FEB,February,0,710000,"Arts, entertainment, and recreation",0,Total US,4.3,3.1,7.2
3/1/2019,2019,M03,3,MAR,March,0,710000,"Arts, entertainment, and recreation",0,Total US,4.2,3.2,6.8
